artist,title,track_no,track_no_source,unknown,from_cd_artist,from_cd_title,mix_id,mix_name
"Shic, mc",Nightstalker (& zeidan),60000301,T01: 04,1.0,"Nocturnal frequencies 03, danny howells",V,Z0003,Car CD 03
"Dawson, dana",3 is family,60000302,T02: 12,1.0,House of handbag,V,Z0003,Car CD 03
New phunk theory,Always (& kerry green),60000303,T01: 10,1.0,Deeper,V,Z0003,Car CD 03
Masters at work,Brazilian beat,60000304,T09,1.0,"Funky lowlives, the, ascension presents",V,Z0003,Car CD 03
Eddy,Someday,60000305,T12,1.0,MOS 3,V,Z0003,Car CD 03
M people,Love rendezvous,60000306,T01: 13,1.0,MOS 6,V,Z0003,Car CD 03
"Knuckles, frankie",Keep on moving (& nicki richards),60000307,T01: 01,1.0,"Faith 1, house classics past & present, terry farley & bill brewster",V,Z0003,Car CD 03
Sandy b,Aint no need to hide,60000308,T08 (0 - -1:00),1.0,Garage class 2,V,Z0003,Car CD 03
Hardrive,Just believe,60000310,T01,1.0,Strictly rhythm 3,V,Z0003,Car CD 03
"Roberts, joe",Back in my life,60000311,T06,1.0,Ffrr platinum on black,V,Z0003,Car CD 03
Key to life,Forever (& sabrina johnston),60000312,T10,1.0,Garage divas,V,Z0003,Car CD 03
Duke,So in love with you,60000313,T01: 07,0.0,Dancenet 2,V,Z0003,Car CD 03
"Holloway, loleatta",Hit & run,60000401,T10,1.0,"Mastercuts, classic salsoul 2",V,Z0004,Car CD 04
House of prince,Perfect love,60000402,T13,1.0,Twist this pussy,V,Z0004,Car CD 04
Ez rollers,Retro,60000403,T02: 14,1.0,Nu cool 2,V,Z0004,Car CD 04
"Haines, nathan",Earth is the place (& verna francis),60000404,T01: 10,1.0,MOS sessions 12,V,Z0004,Car CD 04
Yello,To the sea,60000405,T02,1.0,"Tenaglia, danny, back to mine",V,Z0004,Car CD 04
"Rae, fonda",Living in ecstasy,60000406,T01: 02,1.0,MOS 7,V,Z0004,Car CD 04
"Jackson, giselle",Love commandments,60000407,T01: 03,1.0,MOS 7,V,Z0004,Car CD 04
Salt city orchestra,Storm,60000408,T03,1.0,Can your pussy do the dog,V,Z0004,Car CD 04
Drizabone,Real love,60000409,T01: 12,1.0,"94th & 10th, a decade of 94th & broadway",V,Z0004,Car CD 04
Raw concept,On & on,60000410,T01: 13,1.0,"MOS late night sessions 2, xpress2",V,Z0004,Car CD 04
"Falk, christian",Make it right (& demetreus),60000411,T14,1.0,"Artful dodger, the, presents rerewind",V,Z0004,Car CD 04
Urban blues project,Deliver me,60000412,T01: 04,0.0,MOS 5,V,Z0004,Car CD 04
"Warren, alysha",I pray,60000413,T01: 07,1.0,MOS 4,V,Z0004,Car CD 04
Criminal element orchestra,Go around,60000414,T02: 08,1.0,MOS 7,V,Z0004,Car CD 04
Royksopp,Poor land,60000415,T01: 06,1.0,"MOS annual 2002, the",V,Z0004,Car CD 04
Propellerheads,History repeating,60000501,T06,1.0,Propellerheads,Decksandrumsandrockandroll,Z0005,Car CD 05
"Guthries, gwen",7th heaven,60000502,T01: 03,1.0,"94th & 10th, a decade of 94th & broadway",V,Z0005,Car CD 05
Zoo experience,We can make it (& overjoyed),60000503,T01: 06,1.0,MOS 8,V,Z0005,Car CD 05
Kings of tomorrow,I'm so grateful,60000504,T02: 04,1.0,MOS 6,V,Z0005,Car CD 05
M & m,So deep so good,60000505,T05,1.0,Strictly rhythm 3,V,Z0005,Car CD 05
Black science orchestra,Bless the darkness,60000506,T02: 03,1.0,"MOS late night sessions 2, xpress2",V,Z0005,Car CD 05
Atlantis,No more excuses (& naomi nsombi),60000507,T02: 03,1.0,Deeper,V,Z0005,Car CD 05
Mood swing,25th st,60000508,T14,1.0,Nervous ny,V,Z0005,Car CD 05
Jersey street,Cry me a river,60000509,T01,1.0,"Summer breeze, glasgow underground presents, kevin mckay",V,Z0005,Car CD 05
"Evora, cesaria",Sangue de peirona,60000510,T01: 06,1.0,Nu cool 3,V,Z0005,Car CD 05
"Germain, st",Alabama blues,60000511,T02,1.0,"Germain, st",From detroit to st germain (& aka ludovic navarre),Z0005,Car CD 05
Smooth touch,House of love,60000512,T07,1.0,Strictly rhythm 2,V,Z0005,Car CD 05
"Brown, kathy",Give it up,60000513,T01: 08,1.0,MOS sessions 12,V,Z0005,Car CD 05
Mbg,Tribal voices,60000601,T03,1.0,Made in italy,V,Z0006,Car CD 06
Humate,Choose life,60000602,T01: 02,1.0,MOS club nation 1,V,Z0006,Car CD 06
Fragma,Tosca's miracle,60000603,T01: 02,1.0,MOS hard nrg,V,Z0006,Car CD 06
Mfs,Keep on (& jaye ella ruth),60000604,T01: 02,1.0,MOS 5,V,Z0006,Car CD 06
Endorphin,Free (remix),60000605,T02: 01,1.0,Endorphin,Skin,Z0006,Car CD 06
Desert,Letting ya mind go,60000606,T02,1.0,"Nu tech house, dj lottie",V,Z0006,Car CD 06
