file_name,file_type,folder,track_no,artist,title,track_no_source,from_cd_artist,mix_id,mix_name
60000301.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000301,"Shic, mc",Nightstalker (& zeidan),T01: 04,"Nocturnal frequencies 03, danny howells",Z0003,Car CD 03
60000302.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000302,"Dawson, dana",3 is family,T02: 12,House of handbag,Z0003,Car CD 03
60000303.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000303,New phunk theory,Always (& kerry green),T01: 10,Deeper,Z0003,Car CD 03
60000304.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000304,Masters at work,Brazilian beat,T09,"Funky lowlives, the, ascension presents",Z0003,Car CD 03
60000305.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000305,Eddy,Someday,T12,MOS 3,Z0003,Car CD 03
60000306.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000306,M people,Love rendezvous,T01: 13,MOS 6,Z0003,Car CD 03
60000307.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000307,"Knuckles, frankie",Keep on moving (& nicki richards),T01: 01,"Faith 1, house classics past & present, terry farley & bill brewster",Z0003,Car CD 03
60000308.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000308,Sandy b,Aint no need to hide,T08 (0 - -1:00),Garage class 2,Z0003,Car CD 03
60000309.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000309,Unknown,Unknown,,Unknown,Z0003CarCD03-mixeddance,Z 0003 Car CD 03 - mixed dance
60000310.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000310,Hardrive,Just believe,T01,Strictly rhythm 3,Z0003,Car CD 03
60000311.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000311,"Roberts, joe",Back in my life,T06,Ffrr platinum on black,Z0003,Car CD 03
60000312.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000312,Key to life,Forever (& sabrina johnston),T10,Garage divas,Z0003,Car CD 03
60000313.m4a,m4a,Z 0003 Car CD 03 - mixed dance,60000313,Duke,So in love with you,T01: 07,Dancenet 2,Z0003,Car CD 03
60000401.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000401,"Holloway, loleatta",Hit & run,T10,"Mastercuts, classic salsoul 2",Z0004,Car CD 04
60000402.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000402,House of prince,Perfect love,T13,Twist this pussy,Z0004,Car CD 04
60000403.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000403,Ez rollers,Retro,T02: 14,Nu cool 2,Z0004,Car CD 04
60000404.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000404,"Haines, nathan",Earth is the place (& verna francis),T01: 10,MOS sessions 12,Z0004,Car CD 04
60000405.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000405,Yello,To the sea,T02,"Tenaglia, danny, back to mine",Z0004,Car CD 04
60000406.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000406,"Rae, fonda",Living in ecstasy,T01: 02,MOS 7,Z0004,Car CD 04
60000407.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000407,"Jackson, giselle",Love commandments,T01: 03,MOS 7,Z0004,Car CD 04
60000408.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000408,Salt city orchestra,Storm,T03,Can your pussy do the dog,Z0004,Car CD 04
60000409.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000409,Drizabone,Real love,T01: 12,"94th & 10th, a decade of 94th & broadway",Z0004,Car CD 04
60000410.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000410,Raw concept,On & on,T01: 13,"MOS late night sessions 2, xpress2",Z0004,Car CD 04
60000411.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000411,"Falk, christian",Make it right (& demetreus),T14,"Artful dodger, the, presents rerewind",Z0004,Car CD 04
60000412.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000412,Urban blues project,Deliver me,T01: 04,MOS 5,Z0004,Car CD 04
60000413.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000413,"Warren, alysha",I pray,T01: 07,MOS 4,Z0004,Car CD 04
60000414.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000414,Criminal element orchestra,Go around,T02: 08,MOS 7,Z0004,Car CD 04
60000415.m4a,m4a,Z 0004 Car CD 04 - mixed dance,60000415,Royksopp,Poor land,T01: 06,"MOS annual 2002, the",Z0004,Car CD 04
60000501.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000501,Propellerheads,History repeating,T06,Propellerheads,Z0005,Car CD 05
60000502.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000502,"Guthries, gwen",7th heaven,T01: 03,"94th & 10th, a decade of 94th & broadway",Z0005,Car CD 05
60000503.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000503,Zoo experience,We can make it (& overjoyed),T01: 06,MOS 8,Z0005,Car CD 05
60000504.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000504,Kings of tomorrow,I'm so grateful,T02: 04,MOS 6,Z0005,Car CD 05
60000505.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000505,M & m,So deep so good,T05,Strictly rhythm 3,Z0005,Car CD 05
60000506.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000506,Black science orchestra,Bless the darkness,T02: 03,"MOS late night sessions 2, xpress2",Z0005,Car CD 05
60000507.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000507,Atlantis,No more excuses (& naomi nsombi),T02: 03,Deeper,Z0005,Car CD 05
60000508.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000508,Mood swing,25th st,T14,Nervous ny,Z0005,Car CD 05
60000509.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000509,Jersey street,Cry me a river,T01,"Summer breeze, glasgow underground presents, kevin mckay",Z0005,Car CD 05
60000510.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000510,"Evora, cesaria",Sangue de peirona,T01: 06,Nu cool 3,Z0005,Car CD 05
60000511.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000511,"Germain, st",Alabama blues,T02,"Germain, st",Z0005,Car CD 05
60000512.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000512,Smooth touch,House of love,T07,Strictly rhythm 2,Z0005,Car CD 05
60000513.m4a,m4a,Z 0005 Car CD 05 - mixed dance,60000513,"Brown, kathy",Give it up,T01: 08,MOS sessions 12,Z0005,Car CD 05
60000601.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000601,Mbg,Tribal voices,T03,Made in italy,Z0006,Car CD 06
60000602.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000602,Humate,Choose life,T01: 02,MOS club nation 1,Z0006,Car CD 06
60000603.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000603,Fragma,Tosca's miracle,T01: 02,MOS hard nrg,Z0006,Car CD 06
60000604.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000604,Mfs,Keep on (& jaye ella ruth),T01: 02,MOS 5,Z0006,Car CD 06
60000605.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000605,Endorphin,Free (remix),T02: 01,Endorphin,Z0006,Car CD 06
60000606.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000606,Desert,Letting ya mind go,T02,"Nu tech house, dj lottie",Z0006,Car CD 06
60000607.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000607,"Terry, todd",Keep on jumpin,T02: 04,Club classics 1,Z0006,Car CD 06
60000608.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000608,Dayeene,Around the world,T01,Pulsating rhythms 3,Z0006,Car CD 06
60000609.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000609,Da click,Good rhymes,T01: 02,MOS dance nation 6,Z0006,Car CD 06
60000610.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000610,Sol brothers,That elvis track,T02: 17,Block bustin beats,Z0006,Car CD 06
60000611.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000611,Daphreephunkateerz,Get pissed on brooklyn bridge,T03,"220 volts fm, tuner a vif",Z0006,Car CD 06
60000612.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000612,Halo,Primitive,T01: 03 (& 4),"Nocturnal frequencies 03, danny howells",Z0006,Car CD 06
60000613.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000613,H2o,Satisfied,T01: 12,MOS 8,Z0006,Car CD 06
60000614.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000614,"Holmes, david","Yates, rodney",T06,"Holmes, david",Z0006,Car CD 06
60000615.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000615,1 dove,Fallen,T01,1 dove,Z0006,Car CD 06
60000616.m4a,m4a,Z 0006 Car CD 06 - mixed dance,60000616,Neotropic,Vacetious blooms,T06,Neotropic,Z0006,Car CD 06
60000901.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000901,"Anderson, carleen",Apparently nothin,T01: 12,MOS 4,Z0009,Car CD 09
60000902.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000902,Kklass,Don't stop,T05,Kklass,Z0009,Car CD 09
60000903.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000903,Ultranate,Free,T02: 01,MOS 8,Z0009,Car CD 09
60000904.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000904,Wosp,Getting in 2 u,T01: 13,"MOS annual 2002, the",Z0009,Car CD 09
60000905.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000905,"Knuckles, frankie",Keep it real (& adeva),T05,"Knuckles, frankie",Z0009,Car CD 09
60000906.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000906,Ground level,Journey through the night,T04,Pulsating rhythms 5,Z0009,Car CD 09
60000907.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000907,Mel & kim,Showing out,T10,Mel & kim,Z0009,Car CD 09
60000908.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000908,"Brown, jocelyn",Something's going on,T02,"Brown, jocelyn",Z0009,Car CD 09
60000909.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000909,"Electric fro, the",Theme from electro fro,T18,Can your pussy do the dog,Z0009,Car CD 09
60000910.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000910,1st choice,Armed & extremely dangerous,T01: 03,MOS 8,Z0009,Car CD 09
60000911.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000911,"E, don",Love makes the world go around,T01: 10,"94th & 10th, a decade of 94th & broadway",Z0009,Car CD 09
60000912.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000912,"Ayers, roy",Sweet tears,T07,"Jumpin 2, classics from the original disco underground",Z0009,Car CD 09
60000913.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000913,Science dept,Persuasion,T01: 12,"Bedrock, john digweed",Z0009,Car CD 09
60000914.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000914,Dimitri from paris,Dim's jazz,T03,Future sound of paris 2,Z0009,Car CD 09
60000915.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000915,Mateo & matos,Happy feeling,T01: 01,"MOS late night sessions 2, xpress2",Z0009,Car CD 09
60000916.m4a,m4a,Z 0009 Car CD 09 - mixed dance,60000916,Eurekavibe,Sacred & true,T12,Radio raw 2,Z0009,Car CD 09
60001001.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001001,M people,How can I love you more (sasha remix),T02: 01,"Deconstruction classics, a history of dance music",Z0010,Car CD 10
60001002.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001002,Absolute us,There will come a day (& suzanne palmer),T01: 11,House of handbag,Z0010,Car CD 10
60001003.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001003,"Da silva, rui",Touch me,T01: 21,"MOS annual 2002, the",Z0010,Car CD 10
60001004.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001004,"Brown, jocelyn",Fun,T05,"Brown, jocelyn",Z0010,Car CD 10
60001005.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001005,Urban hype,Game of love,T05,Pulsating rhythms 5,Z0010,Car CD 10
60001006.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001006,"Simpson, paul & colonel abrams",Could it be,T01: 13,MOS sessions 12,Z0010,Car CD 10
60001007.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001007,Da mooch,Send me some love (& ellis miah),T01: 05,MOS 8,Z0010,Car CD 10
60001008.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001008,Magenta,Music & rights,T08,Future sound of paris 2,Z0010,Car CD 10
60001009.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001009,King street crew,Gonna be alright,T08,Nervous ny,Z0010,Car CD 10
60001010.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001010,"Giles, donna",And I tell you i'm not going to stonebridge,T05,MOS 3,Z0010,Car CD 10
60001011.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001011,Black science orchestra,Heavy gospel morning,T02: 03,MOS 6,Z0010,Car CD 10
60001012.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001012,Basement jaxx,Bingo bango,T02: 01,MOS club nation 1,Z0010,Car CD 10
60001013.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001013,Mcj,I'm ready for your love (& davina),T08,Made in italy,Z0010,Car CD 10
60001014.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001014,Androgeny,I could be this I could be that,T11,Strictly rhythm 3,Z0010,Car CD 10
60001015.m4a,m4a,Z 0010 Car CD 10 - mixed dance,60001015,"Murray, jolynn",It's time to party,T05,Garage divas,Z0010,Car CD 10
60001101.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001101,Transform,Transformation,T02: 02,Logic trance 2,Z0011,Car CD 11
60001102.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001102,"Sledge, kathy",Another star,T01: 03,MOS 4,Z0011,Car CD 11
60001103.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001103,Stereo mcs,Connected,T02: 11,"94th & 10th, a decade of 94th & broadway",Z0011,Car CD 11
60001104.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001104,"Brown, jocelyn",Happiness (& kamasutra),T06,"Brown, jocelyn",Z0011,Car CD 11
60001105.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001105,Aquanote,Only,T01: 06,Deeper,Z0011,Car CD 11
60001106.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001106,Freakpower,Turn on tune in cop out,T02: 10,"94th & 10th, a decade of 94th & broadway",Z0011,Car CD 11
60001107.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001107,"Tucker, barbara",Stay together,T01,Strictly rhythm 5,Z0011,Car CD 11
60001108.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001108,"Candelario, benji, project",Spread love,T02: 11,MOS sessions 12,Z0011,Car CD 11
60001109.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001109,"Chunks, chubby",Testament 4,T02: 08,100 mph pure underground dance 1 & 2,Z0011,Car CD 11
60001110.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001110,Ntrance,Set me free,T03: 03,"MOS annual 2002, the",Z0011,Car CD 11
60001111.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001111,Just us,What a night,T02: 12,"MOS annual 2002, the",Z0011,Car CD 11
60001112.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001112,Ground level,Searching for the truth,T10,Ground level,Z0011,Car CD 11
60001113.m4a,m4a,Z 0011 Car CD 11 - mixed dance,60001113,Funkygreendogs,Fired up,T02,Funkygreendogs,Z0011,Car CD 11
60001801.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001801,"Linen, max","Sound shaker, the",T01: 17,"MOS annual 2002, the",Z0018,Car CD 13
60001802.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001802,"Artful dodger, the",What you gonna do (remix),T13,"Artful dodger, the",Z0018,Car CD 13
60001803.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001803,Illumination,Cookie river,T09,Cafe del mar 8 (ocho),Z0018,Car CD 13
60001804.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001804,Bedlam,Da force,T02: 10,Street fm 1,Z0018,Car CD 13
60001805.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001805,"Beginerz, the",Reckless girl,T01: 01,"MOS annual 2003, the",Z0018,Car CD 13
60001806.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001806,Natural calamity,And that's saying a lot,T09,This is not a soundclash,Z0018,Car CD 13
60001807.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001807,Fenomenon,Out of control,T06,This is not a soundclash,Z0018,Car CD 13
60001808.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001808,Mambana,No reason,T02: 06,MOS clubbers guide to 2003,Z0018,Car CD 13
60001809.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001809,"Riviera, sandy",Changes (& haze),T02: 03,MOS clubbers guide to 2003,Z0018,Car CD 13
60001810.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001810,"Streets, the",Weak becomes heroes,T01: 17,"MOS annual 2003, the",Z0018,Car CD 13
60001811.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001811,"Vass, dina","Love I have for you, the",T01: 14,"MOS annual 2003, the",Z0018,Car CD 13
60001812.m4a,m4a,Z 0018 Car CD 13  - mixed dance,60001812,Raffen,Enough of your love,T12,"Fashion tv, spring summer 2001 collection",Z0018,Car CD 13
60001901.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001901,Bt,Shame,T02: 01,"Global underground 021, deep dish, moscow",Z0019,Car CD 14
60001902.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001902,Basement jaxx,Do your thing,T01: 06,"MOS annual 2003, the",Z0019,Car CD 14
60001903.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001903,Raven maize,Fascinated,T01: 05,"MOS annual 2003, the",Z0019,Car CD 14
60001904.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001904,She rockers,On shane (& vs utah saints),T10,New school vs old school 2,Z0019,Car CD 14
60001905.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001905,Nerd,Run to the sun,T07,Nerd,Z0019,Car CD 14
60001906.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001906,Jamiroquai,Love foolsonly,T01: 04,"MOS annual 2003, the",Z0019,Car CD 14
60001907.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001907,Bis project,Girls like us,T13,MOS 2step the album,Z0019,Car CD 14
60001909.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001909,"Artful dodger, the",Moving too fast (& romina johnson),T02: 02,"Ayia napa, ultimate",Z0019,Car CD 14
60001910.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001910,"Aaron, robert",Sax in the ozone,T02: 03,"Faith 1, house classics past & present, terry farley & bill brewster",Z0019,Car CD 14
60001911.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001911,"Jones, digby",Pina colada,T12,Cafe del mar 8 (ocho),Z0019,Car CD 14
60001912.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001912,Layo & bushwacka,Love story,T01: 02,"MOS annual 2003, the",Z0019,Car CD 14
60001913.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001913,Il padrinos,That's how good your love is (& jocelyn brown),T01: 03,"MOS annual 2003, the",Z0019,Car CD 14
60001914.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001914,King unique,Look ahead,T01: 18,"Ayia napa, ultimate",Z0019,Car CD 14
60001915.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001915,India,To be in love (& maw presents),T01: 19,"Ayia napa, ultimate",Z0019,Car CD 14
60001916.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001916,Kings of tomorrow,Finally,T01: 11,"Faith 1, house classics past & present, terry farley & bill brewster",Z0019,Car CD 14
60001917.m4a,m4a,Z 0019 Car CD 14 - mixed dance,60001917,Fridge,Paradise,T02: 12,Street fm 1,Z0019,Car CD 14
60104301 Mark Imperial - J'Adore Danser (Club Mix).m4a,m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104301,"Imperial, mark",J'adore danser (club mix),T03: 08,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
"60104302 Mclaren, malcolm - Deep in vogue (bantje realness mix) (09-04).m4a",m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104302,"Mclaren, malcolm",Deep in vogue (bantje realness mix),T03,"Mclaren, malcolm",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
60104303 Billie - Nobody's Business (Radio Mix).m4a,m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104303,Billie,Nobody's business (radio mix),T10: 09,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
60104304 Libra Libra - I Like It.m4a,m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104304,Libra libra,I like it,T07: 04,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
60104305 Mink - What Does It Take (Fashion Mix).m4a,m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104305,Mink,What does it take (fashion mix),T10: 03,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
60104306 Movement -The Movement.m4a,m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104306,Movement,"Movement, the",T09: 09,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
60104307 Thompson & Lenoir - Can't Stop The House.m4a,m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104307,Thompson & lenoir,Can't stop the house,T10: 10,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
60104308 Jellybean Featuring Steven Dante - The Real Thing (West 26th Street Mix).m4a,m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104308,Jellybean,"Real thing, the (& ft steven dante) (west 26th street mix)",T12: 02,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
60104309 Kenny D & Tommy Musto - Everything Bamboo (Club Version).m4a,m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104309,Kenny d,Everything bamboo (club version (& tommy musto),T09: 07,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
60104310 Krush - House Arrest (The Beat Is The Law).m4a,m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104310,Krush,"House arrest, the beat is the law",T13: 04,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
"60104311 2 Puerto Ricans, A Blackman And A Dominican -Do It Properly (Def Mix).m4a",m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104311,"2 puerto ricans, a blackman & a dominican",Do it properly (def mix),T09: 06,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
60104312 Farm Boy - Sway.m4a,m4a,"Z 1043 dnc 435 solid pleasure 3 of 3, chicago house",60104312,Farm boy,Sway,T03: 06,"History of the house sound of chicago, the",Z1043,"dnc 435 solid pleasure 3 of 3, chicago house"
60104401 Tiny tunes - Will you catch me.m4a,m4a,Z 1044 Car cd 15,60104401,Tiny tunes,Will you catch me,T10,Cafe del mar 8 (ocho),Z1044,Car CD 15
"60104402 Gopher, alex - Child, the (faze action party mix).m4a",m4a,Z 1044 Car cd 15,60104402,"Gopher, alex","Child, the (faze action party mix)",T03,"Fashion tv, spring summer 2001 collection",Z1044,Car CD 15
60104403 Atm - Slow dive.m4a,m4a,Z 1044 Car cd 15,60104403,Atm,Slow dive,T02: 09,Central heating 1,Z1044,Car CD 15
"60104404 Sinclair, bob - Beat goes on, the.m4a",m4a,Z 1044 Car cd 15,60104404,"Sinclair, bob","Beat goes on, the",T01: 01,MOS clubbers guide to 2003,Z1044,Car CD 15
"60104405 Germain, st - Sure thing.m4a",m4a,Z 1044 Car cd 15,60104405,"Germain, st",Sure thing,T06,"Germain, st",Z1044,Car CD 15
60104406 Dread flimstone - From the ghetto.m4a,m4a,Z 1044 Car cd 15,60104406,Dread flimstone,From the ghetto (& the modern tone age family & jah t),T01: 02,Back to love,Z1044,Car CD 15
60104407 Tosca - Gute laune (& tweed).m4a,m4a,Z 1044 Car cd 15,60104407,Tosca,Gute laune (& tweed),T01: 03,Tosca,Z1044,Car CD 15
60104408 Crazy penis- There's a better place.m4a,m4a,Z 1044 Car cd 15,60104408,Crazy penis,There's a better place,T10,"Suite royale, st moritz vibes 2",Z1044,Car CD 15
