Artist,Title,Track no. on CDR,Track no. on source CD,,From CD artist,From CD title ( V = Various Artists)
Zzzz_00003,(CDR number 3),60000300,200409,0,,Z 0003 Car CD 03
"Shic, mc",Nightstalker (& zeidan),60000301,T01: 04,1,"Nocturnal frequencies 03, danny howells",V
"Dawson, dana",3 is family,60000302,T02: 12,1,House of handbag,V
New phunk theory,Always (& kerry green),60000303,T01: 10,1,Deeper,V
Masters at work,Brazilian beat,60000304,T09,1,"Funky lowlives, the, ascension presents",V
Eddy,Someday,60000305,T12,1,MOS 3,V
M people,Love rendezvous,60000306,T01: 13,1,MOS 6,V
"Knuckles, frankie",Keep on moving (& nicki richards),60000307,T01: 01,1,"Faith 1, house classics past & present, terry farley & bill brewster",V
Sandy b,Aint no need to hide,60000308,T08 (0 - -1:00),1,Garage class 2,V
Hardrive,Just believe,60000310,T01,1,Strictly rhythm 3,V
"Roberts, joe",Back in my life,60000311,T06,1,Ffrr platinum on black,V
Key to life,Forever (& sabrina johnston),60000312,T10,1,Garage divas,V
Duke,So in love with you,60000313,T01: 07,0,Dancenet 2,V
Zzzz_00004,,60000400,200409,0,,Z 0004 Car CD 04
"Holloway, loleatta",Hit & run,60000401,T10,1,"Mastercuts, classic salsoul 2",V
House of prince,Perfect love,60000402,T13,1,Twist this pussy,V
Ez rollers,Retro,60000403,T02: 14,1,Nu cool 2,V
"Haines, nathan",Earth is the place (& verna francis),60000404,T01: 10,1,MOS sessions 12,V
Yello,To the sea,60000405,T02,1,"Tenaglia, danny, back to mine",V
"Rae, fonda",Living in ecstasy,60000406,T01: 02,1,MOS 7,V
"Jackson, giselle",Love commandments,60000407,T01: 03,1,MOS 7,V
Salt city orchestra,Storm,60000408,T03,1,Can your pussy do the dog,V
Drizabone,Real love,60000409,T01: 12,1,"94th & 10th, a decade of 94th & broadway",V
Raw concept,On & on,60000410,T01: 13,1,"MOS late night sessions 2, xpress2",V
